system:index,GridID,count,max,mean,median,min,sum,.geo
000000000000000001c6,3684,8,21385.0,9595.375,7449.0,5346.0,76763.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999918090288,48.320000658296166],[121.01249901936659,48.32000072064839],[121.07499896706197,48.320000676650366],[121.13749874761872,48.320000689039],[121.199998643578,48.32000066928938],[121.26249851535259,48.32000065529712],[121.32499840428285,48.320000714823706],[121.38749833712558,48.32000066744904],[121.4499981442866,48.32000064470849],[121.4499981768313,48.819999648794365],[121.38749836577891,48.819999690590244],[121.32499849480548,48.81999969162304],[121.26249848997493,48.819999677904086],[121.19999867386174,48.819999641077864],[121.13749875864984,48.819999671473866],[121.07499891523643,48.81999963675216],[121.01249903867584,48.81999965691094],[120.94999908654155,48.81999966343032],[120.94999918090288,48.320000658296166]]]}"
000000000000000001c7,3685,91,1669882.0,50526.131868131866,11000.838709677419,5340.0,4597878.0,"{""type"":""Polygon"",""coordinates"":[[[121.4499981442866,48.32000064470849],[121.5124985462778,48.32000067627928],[121.57499896692026,48.32000068004836],[121.6374993727303,48.32000066213847],[121.69999991169718,48.320000657468015],[121.76250026398955,48.32000067564071],[121.82500078879886,48.320000686665075],[121.88750116628522,48.320000700414624],[121.95000157416145,48.32000065797262],[121.95000162402387,48.819999710177655],[121.88750119399778,48.81999970558834],[121.82500073684763,48.819999703524736],[121.7625002844126,48.819999698135426],[121.69999986863213,48.8199996836096],[121.63749941480029,48.819999686768796],[121.57499906176945,48.819999669143726],[121.51249862822247,48.81999968993205],[121.4499981768313,48.819999648794365],[121.4499981442866,48.32000064470849]]]}"
000000000000000001c8,3686,3,11975.0,8178.0,7169.0,5390.0,24534.0,"{""type"":""Polygon"",""coordinates"":[[[121.95000157416145,48.32000065797262],[122.01250155818721,48.32000069607747],[122.07500132496449,48.32000066252015],[122.13750128232807,48.32000068009567],[122.20000113921986,48.32000066595471],[122.26250094008803,48.320000686782066],[122.32500086327623,48.32000068241466],[122.38750077145352,48.32000069156929],[122.4500005553069,48.32000065966847],[122.45000066103383,48.81999966883901],[122.3875007312336,48.81999969669169],[122.32500084251346,48.819999673900035],[122.26250099742565,48.8199996894494],[122.20000114910273,48.81999967661993],[122.13750122229808,48.81999966295371],[122.075001432571,48.81999967082848],[122.01250152041527,48.819999699548525],[121.95000162402387,48.819999710177655],[121.95000157416145,48.32000065797262]]]}"
000000000000000001dc,3714,8,20701.0,11228.25,9760.0,5890.0,89826.0,"{""type"":""Polygon"",""coordinates"":[[[120.45000018101992,48.81999966493732],[120.51250001887631,48.81999967882754],[120.57499994418613,48.819999660408264],[120.63749981578961,48.81999964731183],[120.69999967459009,48.81999970857701],[120.76249955084569,48.81999966251674],[120.82499945370863,48.81999967192214],[120.8874992745108,48.81999968066568],[120.94999908654155,48.81999966343032],[120.94999922644708,49.3199986927859],[120.88749925729593,49.319998651089065],[120.82499938625669,49.31999867202452],[120.7624995695004,49.31999868671256],[120.6999996554633,49.3199986578907],[120.63749982849825,49.31999870558522],[120.57499996986274,49.319998697437526],[120.51250000440056,49.319998658807],[120.45000022439199,49.31999867845901],[120.45000018101992,48.81999966493732]]]}"
000000000000000001dd,3715,7,39528.0,14371.714285714286,10621.0,5334.0,100602.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999908654155,48.81999966343032],[121.01249903867584,48.81999965691094],[121.07499891523643,48.81999963675216],[121.13749875864984,48.819999671473866],[121.19999867386174,48.819999641077864],[121.26249848997493,48.819999677904086],[121.32499849480548,48.81999969162304],[121.38749836577891,48.819999690590244],[121.4499981768313,48.819999648794365],[121.44999812274935,49.3199986493787],[121.387498268721,49.31999865229584],[121.32499847396471,49.31999870056212],[121.26249850785933,49.31999869572153],[121.19999858752708,49.319998661815966],[121.13749882154765,49.319998655771776],[121.07499894857338,49.319998673717805],[121.01249910890034,49.3199986773223],[120.94999922644708,49.3199986927859],[120.94999908654155,48.81999966343032]]]}"
000000000000000001de,3716,1,23957.0,23957.0,23957.0,23957.0,23957.0,"{""type"":""Polygon"",""coordinates"":[[[121.4499981768313,48.819999648794365],[121.51249862822247,48.81999968993205],[121.57499906176945,48.819999669143726],[121.63749941480029,48.819999686768796],[121.69999986863213,48.8199996836096],[121.7625002844126,48.819999698135426],[121.82500073684763,48.819999703524736],[121.88750119399778,48.81999970558834],[121.95000162402387,48.819999710177655],[121.95000163388679,49.319998677796015],[121.88750117615338,49.31999866794861],[121.8250007455278,49.319998682532315],[121.76250029483273,49.319998653812064],[121.6999998248573,49.319998671295366],[121.63749947451252,49.31999869633985],[121.5749990891618,49.3199986940044],[121.51249859205127,49.319998691248024],[121.44999812274935,49.3199986493787],[121.4499981768313,48.819999648794365]]]}"
000000000000000001df,3717,2,10067.0,9771.0,9771.0,9475.0,19542.0,"{""type"":""Polygon"",""coordinates"":[[[121.95000162402387,48.819999710177655],[122.01250152041527,48.819999699548525],[122.075001432571,48.81999967082848],[122.13750122229808,48.81999966295371],[122.20000114910273,48.81999967661993],[122.26250099742565,48.8199996894494],[122.32500084251346,48.819999673900035],[122.3875007312336,48.81999969669169],[122.45000066103383,48.81999966883901],[122.45000067250774,49.3199986838896],[122.38750068357336,49.31999865960587],[122.32500088145788,49.319998665579504],[122.26250100128749,49.319998702413805],[122.20000110236016,49.31999866913259],[122.1375012644259,49.31999871737311],[122.0750013604851,49.31999871800982],[122.0125014212345,49.3199986653687],[121.95000163388679,49.319998677796015],[121.95000162402387,48.819999710177655]]]}"
000000000000000001e0,3718,4,10610.0,7986.0,7704.0,5926.0,31944.0,"{""type"":""Polygon"",""coordinates"":[[[122.45000066103383,48.81999966883901],[122.5125005726625,48.81999969043585],[122.57500035702559,48.81999970624651],[122.6375001961309,48.81999965454535],[122.7000001100595,48.819999696121094],[122.7625000175193,48.81999968100395],[122.82499986034946,48.81999970934158],[122.88749974199727,48.81999965799048],[122.94999968385366,48.81999968750564],[122.94999962416979,49.31999870298293],[122.88749976395007,49.31999867608901],[122.82499996205631,49.3199986874773],[122.76249998035752,49.31999864382761],[122.70000019525143,49.31999868922734],[122.63750028935716,49.31999866885696],[122.57500037203242,49.319998638577125],[122.51250044444105,49.31999868848615],[122.45000067250774,49.3199986838896],[122.45000066103383,48.81999966883901]]]}"
000000000000000001f0,3740,0,,,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[120.45000022439199,49.31999867845901],[120.51250000440056,49.319998658807],[120.57499996986274,49.319998697437526],[120.63749982849825,49.31999870558522],[120.6999996554633,49.3199986578907],[120.7624995695004,49.31999868671256],[120.82499938625669,49.31999867202452],[120.88749925729593,49.319998651089065],[120.94999922644708,49.3199986927859],[120.94999918198363,49.820002116304885],[120.88749923644036,49.82000214154431],[120.82499945951847,49.820002155802634],[120.76249958632391,49.82000215432904],[120.69999964854723,49.82000213103039],[120.63749975454509,49.82000214357477],[120.5749998594081,49.820002122342714],[120.5125000714535,49.82000212519589],[120.4500001267008,49.82000214610355],[120.45000022439199,49.31999867845901]]]}"
000000000000000001f1,3741,0,,,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999922644708,49.3199986927859],[121.01249910890034,49.3199986773223],[121.07499894857338,49.319998673717805],[121.13749882154765,49.319998655771776],[121.19999858752708,49.319998661815966],[121.26249850785933,49.31999869572153],[121.32499847396471,49.31999870056212],[121.387498268721,49.31999865229584],[121.44999812274935,49.3199986493787],[121.44999815264288,49.82000212838654],[121.38749823967505,49.8200021292691],[121.32499835761111,49.82000213223018],[121.26249853700124,49.82000213166459],[121.19999869890763,49.82000215472164],[121.13749879648155,49.820002132372615],[121.07499893831525,49.820002122065986],[121.01249904567413,49.82000215061573],[120.94999918198363,49.820002116304885],[120.94999922644708,49.3199986927859]]]}"
000000000000000001f2,3742,0,,,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[121.44999812274935,49.3199986493787],[121.51249859205127,49.319998691248024],[121.5749990891618,49.3199986940044],[121.63749947451252,49.31999869633985],[121.6999998248573,49.319998671295366],[121.76250029483273,49.319998653812064],[121.8250007455278,49.319998682532315],[121.88750117615338,49.31999866794861],[121.95000163388679,49.319998677796015],[121.95000159084849,49.82000213842851],[121.88750115649451,49.820002164747756],[121.82500073105363,49.82000217053047],[121.76250034441114,49.820002150320846],[121.69999991710043,49.82000213202124],[121.63749947914216,49.82000211002398],[121.57499902957088,49.820002174809616],[121.51249855112644,49.8200021618202],[121.44999815264288,49.82000212838654],[121.44999812274935,49.3199986493787]]]}"
000000000000000001f3,3743,32,134617.0,19293.34375,9364.0,5267.0,617387.0,"{""type"":""Polygon"",""coordinates"":[[[121.95000163388679,49.319998677796015],[122.0125014212345,49.3199986653687],[122.0750013604851,49.31999871800982],[122.1375012644259,49.31999871737311],[122.20000110236016,49.31999866913259],[122.26250100128749,49.319998702413805],[122.32500088145788,49.319998665579504],[122.38750068357336,49.31999865960587],[122.45000067250774,49.3199986838896],[122.45000065959398,49.82000213566844],[122.38750073068786,49.82000210280688],[122.32500095356602,49.82000214993441],[122.26250100833384,49.82000211934234],[122.20000108383732,49.82000212999497],[122.13750131840587,49.82000214276474],[122.0750014431852,49.820002157760655],[122.0125014876769,49.820002169378775],[121.95000159084849,49.82000213842851],[121.95000163388679,49.319998677796015]]]}"
000000000000000001f4,3744,12,51526.0,16437.416666666668,12256.5,5269.0,197249.0,"{""type"":""Polygon"",""coordinates"":[[[122.45000067250774,49.3199986838896],[122.51250044444105,49.31999868848615],[122.57500037203242,49.319998638577125],[122.63750028935716,49.31999866885696],[122.70000019525143,49.31999868922734],[122.76249998035752,49.31999864382761],[122.82499996205631,49.3199986874773],[122.88749976395007,49.31999867608901],[122.94999962416979,49.31999870298293],[122.94999958194614,49.82000215690108],[122.88749980666404,49.820002152134286],[122.82499990274373,49.82000211056831],[122.76250006012033,49.82000215043829],[122.70000014567597,49.82000214308128],[122.63750026862068,49.820002145126026],[122.57500045746784,49.82000215150261],[122.51250055143943,49.82000212945671],[122.45000065959398,49.82000213566844],[122.45000067250774,49.3199986838896]]]}"
000000000000000001f5,3745,2,8808.0,8505.5,8505.5,8203.0,17011.0,"{""type"":""Polygon"",""coordinates"":[[[122.94999962416979,49.31999870298293],[123.01249954117887,49.31999867770325],[123.0749993780521,49.31999864001191],[123.13749926649491,49.31999871708458],[123.19999915165222,49.319998661865576],[123.26249895028748,49.31999867083449],[123.32499884890376,49.319998679404314],[123.38749881890335,49.31999869246466],[123.44999864330606,49.31999868942724],[123.44999868766116,49.82000212629397],[123.38749880549155,49.82000213447992],[123.32499886997634,49.82000213753026],[123.26249901771826,49.820002095248086],[123.19999914021713,49.82000213456156],[123.13749929250231,49.82000215399883],[123.07499931230444,49.82000212215808],[123.01249949921417,49.82000212199028],[122.94999958194614,49.82000215690108],[122.94999962416979,49.31999870298293]]]}"
000000000000000001f6,3746,11,13378.0,8414.636363636364,7044.0,5819.0,92561.0,"{""type"":""Polygon"",""coordinates"":[[[123.44999864330606,49.31999868942724],[123.51249907397745,49.31999868144289],[123.57499949082472,49.31999869225401],[123.6374999729814,49.31999869156394],[123.70000030337697,49.31999865922837],[123.76250072405266,49.319998685672125],[123.82500123289803,49.31999867981658],[123.88750169454528,49.3199986819894],[123.95000208107616,49.31999869715505],[123.95000213057656,49.82000211963009],[123.88750164309715,49.820002131441846],[123.82500118422234,49.82000216533669],[123.76250080698216,49.82000212003934],[123.70000040372031,49.820002123411655],[123.63749991908593,49.820002109711474],[123.57499946262561,49.820002135048334],[123.51249897938251,49.82000213362471],[123.44999868766116,49.82000212629397],[123.44999864330606,49.31999868942724]]]}"
000000000000000001f7,3747,3,24494.0,13219.0,9331.0,5832.0,39657.0,"{""type"":""Polygon"",""coordinates"":[[[123.95000208107616,49.31999869715505],[124.01250198616557,49.3199986816964],[124.07500186741916,49.319998653948346],[124.13750177932519,49.319998678706895],[124.20000161220054,49.31999870076359],[124.26250144557561,49.31999868894938],[124.32500133442983,49.31999870775249],[124.38750116890053,49.31999870201307],[124.45000111137766,49.31999869986821],[124.45000101018961,49.82000213497529],[124.38750126337149,49.82000214923428],[124.32500135694372,49.820002126764486],[124.26250140098762,49.82000212313301],[124.20000161370324,49.82000215783275],[124.13750174638258,49.82000214198761],[124.07500180045484,49.820002167628516],[124.01250201961437,49.82000215778783],[123.95000213057656,49.82000211963009],[123.95000208107616,49.31999869715505]]]}"
000000000000000001f9,3749,4,8733.0,6842.25,6696.5,5243.0,27369.0,"{""type"":""Polygon"",""coordinates"":[[[124.95000008453913,49.3199987099427],[125.01249993971835,49.31999871345819],[125.07499984805534,49.31999869162526],[125.13749967631993,49.319998685811946],[125.19999958890249,49.31999872226825],[125.26249949792711,49.3199986501021],[125.3249993321115,49.319998665923855],[125.3874992787405,49.31999869931085],[125.44999903626172,49.31999867435532],[125.44999905086843,49.82000211460452],[125.38749914891861,49.82000212130887],[125.32499927639245,49.82000213121757],[125.26249945848434,49.82000214033641],[125.19999952737405,49.82000212278546],[125.13749978661576,49.820002155790135],[125.07499979054568,49.82000213166426],[125.01250003557116,49.82000214999681],[124.95000007669782,49.82000210248977],[124.95000008453913,49.3199987099427]]]}"
00000000000000000202,3759,5,11607.0,7059.4,6333.0,5218.0,35297.0,"{""type"":""Polygon"",""coordinates"":[[[120.4500001267008,49.82000214610355],[120.5125000714535,49.82000212519589],[120.5749998594081,49.820002122342714],[120.63749975454509,49.82000214357477],[120.69999964854723,49.82000213103039],[120.76249958632391,49.82000215432904],[120.82499945951847,49.820002155802634],[120.88749923644036,49.82000214154431],[120.94999918198363,49.820002116304885],[120.94999911099512,50.32000111505486],[120.88749922468286,50.320001145759],[120.82499936319131,50.32000115112622],[120.76249955696869,50.32000112551346],[120.69999961432917,50.32000112815903],[120.63749986555639,50.3200011526184],[120.57499996406239,50.32000112942607],[120.51250001819791,50.32000111685105],[120.4500001359141,50.32000117342488],[120.4500001267008,49.82000214610355]]]}"
00000000000000000203,3760,0,,,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999918198363,49.820002116304885],[121.01249904567413,49.82000215061573],[121.07499893831525,49.820002122065986],[121.13749879648155,49.820002132372615],[121.19999869890763,49.82000215472164],[121.26249853700124,49.82000213166459],[121.32499835761111,49.82000213223018],[121.38749823967505,49.8200021292691],[121.44999815264288,49.82000212838654],[121.44999821330175,50.32000113359162],[121.38749830847033,50.32000116989488],[121.32499841090703,50.32000115977191],[121.26249855037112,50.32000109773105],[121.19999869190487,50.32000117190477],[121.13749874024589,50.32000115234709],[121.07499888243584,50.32000116103168],[121.01249906999031,50.32000112862716],[120.94999911099512,50.32000111505486],[120.94999918198363,49.820002116304885]]]}"
00000000000000000204,3761,11,25954.0,8663.90909090909,6388.0,5191.0,95303.0,"{""type"":""Polygon"",""coordinates"":[[[121.44999815264288,49.82000212838654],[121.51249855112644,49.8200021618202],[121.57499902957088,49.820002174809616],[121.63749947914216,49.82000211002398],[121.69999991710043,49.82000213202124],[121.76250034441114,49.820002150320846],[121.82500073105363,49.82000217053047],[121.88750115649451,49.820002164747756],[121.95000159084849,49.82000213842851],[121.9500016657403,50.320001139376146],[121.88750123252696,50.32000111605462],[121.82500076421546,50.32000111883182],[121.76250028949656,50.32000114232426],[121.69999994799919,50.320001147543145],[121.63749946748622,50.32000113316967],[121.57499906744502,50.320001123461545],[121.51249866604074,50.320001146591444],[121.44999821330175,50.32000113359162],[121.44999815264288,49.82000212838654]]]}"
00000000000000000205,3762,10,48575.0,11565.2,6665.0,5205.0,115652.0,"{""type"":""Polygon"",""coordinates"":[[[121.95000159084849,49.82000213842851],[122.0125014876769,49.820002169378775],[122.0750014431852,49.820002157760655],[122.13750131840587,49.82000214276474],[122.20000108383732,49.82000212999497],[122.26250100833384,49.82000211934234],[122.32500095356602,49.82000214993441],[122.38750073068786,49.82000210280688],[122.45000065959398,49.82000213566844],[122.45000060498221,50.32000111790706],[122.38750083472361,50.32000115169587],[122.32500083199048,50.3200011579055],[122.26250092713934,50.32000112506409],[122.20000111826229,50.32000114532875],[122.1375012421335,50.320001185005275],[122.07500135746523,50.32000114170078],[122.01250154266936,50.320001170239664],[121.9500016657403,50.320001139376146],[121.95000159084849,49.82000213842851]]]}"
00000000000000000206,3763,16,36916.0,11176.0625,6639.5,5186.0,178817.0,"{""type"":""Polygon"",""coordinates"":[[[122.45000065959398,49.82000213566844],[122.51250055143943,49.82000212945671],[122.57500045746784,49.82000215150261],[122.63750026862068,49.820002145126026],[122.70000014567597,49.82000214308128],[122.76250006012033,49.82000215043829],[122.82499990274373,49.82000211056831],[122.88749980666404,49.820002152134286],[122.94999958194614,49.82000215690108],[122.94999956679716,50.32000113325208],[122.88749977419009,50.32000113780153],[122.8249998298065,50.32000114906003],[122.76250006366418,50.320001154235065],[122.7000002005728,50.320001156088054],[122.63750026814758,50.32000114944165],[122.57500029409204,50.32000112915162],[122.51250049791102,50.32000111803295],[122.45000060498221,50.32000111790706],[122.45000065959398,49.82000213566844]]]}"
