ForestArea,GridID
1580.8384100000,3684
1628.2537510000,3685
1451.5329190000,3686
436.8114600000,3714
1121.8728790000,3715
1468.2348770000,3716
1518.2688230000,3717
1546.6059320000,3718
490.4645350000,3740
883.5786000000,3741
1554.1095030000,3742
1678.1462800000,3743
1619.6585160000,3744
1550.4892170000,3745
1054.1306040000,3746
435.9479730000,3747
279.7100530000,3749
752.8690500000,3759
1387.3698440000,3760
1681.2850230000,3761
1716.8954360000,3762
1635.1888080000,3763
1557.4080930000,3764
1378.0817870000,3765
826.5419970000,3766
547.8917400000,3767
992.9926110000,3768
652.1789970000,3769
1117.5925360000,3770
1494.7749530000,3771
763.5299910000,3774
1265.6755490000,3775
1582.4321260000,3776
1710.7749550000,3777
1755.2572410000,3778
1739.3668900000,3779
1649.8021230000,3780
1488.9350570000,3781
1186.1981660000,3782
1137.4965220000,3783
1072.8266310000,3784
1008.6189010000,3785
1243.5625790000,3786
1451.2861880000,3787
884.7075250000,3788
1670.4376830000,3789
1779.1453840000,3790
1823.3203250000,3791
1771.1275820000,3792
1805.2952690000,3793
1807.6614500000,3794
1868.9963520000,3795
1855.0823070000,3796
1753.5194770000,3797
1622.2367160000,3798
1380.5200760000,3799
1381.5685800000,3800
1144.2017040000,3801
1194.1775280000,3802
1289.6509680000,3803
1873.5700770000,3804
1893.3458440000,3805
1800.3158780000,3806
1840.4082280000,3807
1792.8756470000,3808
1846.7146220000,3809
1790.6996770000,3810
1755.2647610000,3811
1730.7434720000,3812
1623.9899060000,3813
1613.8711850000,3814
1695.5101310000,3815
972.7013400000,3816
1868.7934610000,3817
1851.3736490000,3818
1841.4574380000,3819
1796.4585750000,3820
1868.3627030000,3821
1837.4103950000,3822
1826.8392000000,3823
1828.3294590000,3824
1803.0489730000,3825
1679.9792110000,3826
1524.0264610000,3827
1413.1411660000,3828
1835.7704210000,3829
1815.8335350000,3830
1854.6561210000,3831
1857.3252160000,3832
1815.7056340000,3833
1846.3556330000,3834
1835.6208660000,3835
1789.4909450000,3836
1753.2563030000,3837
1522.3657250000,3838
1283.9531670000,3839
1766.1526570000,3840
1843.4819150000,3841
1770.6528460000,3842
1728.9954140000,3843
1714.8103030000,3844
1789.1606590000,3845
1668.1693830000,3846
1255.7717170000,3847
1272.9366050000,3848
1532.4094770000,2788
1764.8039990000,2789
1699.2396510000,2790
1586.4811030000,2791
1716.2380020000,2884
1577.9887880000,2885
1370.7808600000,2886
1861.5632660000,2887
880.3210570000,2888
1668.9999260000,2889
873.1462270000,2890
1779.8791930000,2974
1494.2496720000,2975
1301.7424530000,2976
1664.6891180000,2977
1931.5923610000,2978
1868.1241730000,2979
2193.4795160000,2980
1426.1884310000,2981
1331.2203970000,2982
554.3136380000,3055
523.4121140000,3056
188.0652150000,3057
712.7244770000,3058
1837.9297840000,3059
1808.1309300000,3060
2129.3481390000,3061
1761.2206970000,3062
2158.1123750000,3063
1275.1155270000,3064
711.3104340000,3065
52.7467510000,3124
56.5873080000,3125
337.8139360000,3126
734.1683780000,3127
801.2601490000,3128
1590.5340360000,3129
2202.3085040000,3130
1706.3929830000,3131
1791.1826520000,3132
1503.0488600000,3133
1277.4801450000,3134
1512.1657850000,3135
1957.9882960000,3136
17.4054130000,3194
93.4393770000,3195
921.2658120000,3196
1308.8453860000,3197
1220.4948640000,3198
1864.8858910000,3199
821.9524320000,3200
1586.6940340000,3201
2050.0277040000,3202
1677.3316330000,3203
1971.5102930000,3204
2053.5832940000,3205
1255.3318550000,3206
13.7404340000,3265
174.9159690000,3266
701.1456930000,3267
1649.8114840000,3268
2011.1734230000,3269
2158.4331160000,3270
