system:index,GridID,count,max,mean,median,min,sum,.geo
000000000000000001f2,3742,9,17460.0,10947.888888888889,9308.0,6450.0,98531.0,"{""type"":""Polygon"",""coordinates"":[[[121.44999812274935,49.3199986493787],[121.51249859205127,49.319998691248024],[121.5749990891618,49.3199986940044],[121.63749947451252,49.31999869633985],[121.6999998248573,49.319998671295366],[121.76250029483273,49.319998653812064],[121.8250007455278,49.319998682532315],[121.88750117615338,49.31999866794861],[121.95000163388679,49.319998677796015],[121.95000159084849,49.82000213842851],[121.88750115649451,49.820002164747756],[121.82500073105363,49.82000217053047],[121.76250034441114,49.820002150320846],[121.69999991710043,49.82000213202124],[121.63749947914216,49.82000211002398],[121.57499902957088,49.820002174809616],[121.51249855112644,49.8200021618202],[121.44999815264288,49.82000212838654],[121.44999812274935,49.3199986493787]]]}"
000000000000000001f3,3743,14,20402.0,10026.785714285714,7584.0,5236.0,140375.0,"{""type"":""Polygon"",""coordinates"":[[[121.95000163388679,49.319998677796015],[122.0125014212345,49.3199986653687],[122.0750013604851,49.31999871800982],[122.1375012644259,49.31999871737311],[122.20000110236016,49.31999866913259],[122.26250100128749,49.319998702413805],[122.32500088145788,49.319998665579504],[122.38750068357336,49.31999865960587],[122.45000067250774,49.3199986838896],[122.45000065959398,49.82000213566844],[122.38750073068786,49.82000210280688],[122.32500095356602,49.82000214993441],[122.26250100833384,49.82000211934234],[122.20000108383732,49.82000212999497],[122.13750131840587,49.82000214276474],[122.0750014431852,49.820002157760655],[122.0125014876769,49.820002169378775],[121.95000159084849,49.82000213842851],[121.95000163388679,49.319998677796015]]]}"
000000000000000001f4,3744,7,21565.0,9840.285714285714,7016.0,5241.0,68882.0,"{""type"":""Polygon"",""coordinates"":[[[122.45000067250774,49.3199986838896],[122.51250044444105,49.31999868848615],[122.57500037203242,49.319998638577125],[122.63750028935716,49.31999866885696],[122.70000019525143,49.31999868922734],[122.76249998035752,49.31999864382761],[122.82499996205631,49.3199986874773],[122.88749976395007,49.31999867608901],[122.94999962416979,49.31999870298293],[122.94999958194614,49.82000215690108],[122.88749980666404,49.820002152134286],[122.82499990274373,49.82000211056831],[122.76250006012033,49.82000215043829],[122.70000014567597,49.82000214308128],[122.63750026862068,49.820002145126026],[122.57500045746784,49.82000215150261],[122.51250055143943,49.82000212945671],[122.45000065959398,49.82000213566844],[122.45000067250774,49.3199986838896]]]}"
000000000000000001f5,3745,25,39843.0,11801.96,11124.0,5240.0,295049.0,"{""type"":""Polygon"",""coordinates"":[[[122.94999962416979,49.31999870298293],[123.01249954117887,49.31999867770325],[123.0749993780521,49.31999864001191],[123.13749926649491,49.31999871708458],[123.19999915165222,49.319998661865576],[123.26249895028748,49.31999867083449],[123.32499884890376,49.319998679404314],[123.38749881890335,49.31999869246466],[123.44999864330606,49.31999868942724],[123.44999868766116,49.82000212629397],[123.38749880549155,49.82000213447992],[123.32499886997634,49.82000213753026],[123.26249901771826,49.820002095248086],[123.19999914021713,49.82000213456156],[123.13749929250231,49.82000215399883],[123.07499931230444,49.82000212215808],[123.01249949921417,49.82000212199028],[122.94999958194614,49.82000215690108],[122.94999962416979,49.31999870298293]]]}"
000000000000000001f6,3746,37,27583.0,8989.837837837838,7036.0,5232.0,332624.0,"{""type"":""Polygon"",""coordinates"":[[[123.44999864330606,49.31999868942724],[123.51249907397745,49.31999868144289],[123.57499949082472,49.31999869225401],[123.6374999729814,49.31999869156394],[123.70000030337697,49.31999865922837],[123.76250072405266,49.319998685672125],[123.82500123289803,49.31999867981658],[123.88750169454528,49.3199986819894],[123.95000208107616,49.31999869715505],[123.95000213057656,49.82000211963009],[123.88750164309715,49.820002131441846],[123.82500118422234,49.82000216533669],[123.76250080698216,49.82000212003934],[123.70000040372031,49.820002123411655],[123.63749991908593,49.820002109711474],[123.57499946262561,49.820002135048334],[123.51249897938251,49.82000213362471],[123.44999868766116,49.82000212629397],[123.44999864330606,49.31999868942724]]]}"
000000000000000001f7,3747,9,9388.0,6874.0,5841.0,5241.0,61866.0,"{""type"":""Polygon"",""coordinates"":[[[123.95000208107616,49.31999869715505],[124.01250198616557,49.3199986816964],[124.07500186741916,49.319998653948346],[124.13750177932519,49.319998678706895],[124.20000161220054,49.31999870076359],[124.26250144557561,49.31999868894938],[124.32500133442983,49.31999870775249],[124.38750116890053,49.31999870201307],[124.45000111137766,49.31999869986821],[124.45000101018961,49.82000213497529],[124.38750126337149,49.82000214923428],[124.32500135694372,49.820002126764486],[124.26250140098762,49.82000212313301],[124.20000161370324,49.82000215783275],[124.13750174638258,49.82000214198761],[124.07500180045484,49.820002167628516],[124.01250201961437,49.82000215778783],[123.95000213057656,49.82000211963009],[123.95000208107616,49.31999869715505]]]}"
000000000000000001f9,3749,16,27324.0,8329.6875,6104.5,5232.0,133275.0,"{""type"":""Polygon"",""coordinates"":[[[124.95000008453913,49.3199987099427],[125.01249993971835,49.31999871345819],[125.07499984805534,49.31999869162526],[125.13749967631993,49.319998685811946],[125.19999958890249,49.31999872226825],[125.26249949792711,49.3199986501021],[125.3249993321115,49.319998665923855],[125.3874992787405,49.31999869931085],[125.44999903626172,49.31999867435532],[125.44999905086843,49.82000211460452],[125.38749914891861,49.82000212130887],[125.32499927639245,49.82000213121757],[125.26249945848434,49.82000214033641],[125.19999952737405,49.82000212278546],[125.13749978661576,49.820002155790135],[125.07499979054568,49.82000213166426],[125.01250003557116,49.82000214999681],[124.95000007669782,49.82000210248977],[124.95000008453913,49.3199987099427]]]}"
00000000000000000202,3759,1,6345.0,6345.0,6345.0,6345.0,6345.0,"{""type"":""Polygon"",""coordinates"":[[[120.4500001267008,49.82000214610355],[120.5125000714535,49.82000212519589],[120.5749998594081,49.820002122342714],[120.63749975454509,49.82000214357477],[120.69999964854723,49.82000213103039],[120.76249958632391,49.82000215432904],[120.82499945951847,49.820002155802634],[120.88749923644036,49.82000214154431],[120.94999918198363,49.820002116304885],[120.94999911099512,50.32000111505486],[120.88749922468286,50.320001145759],[120.82499936319131,50.32000115112622],[120.76249955696869,50.32000112551346],[120.69999961432917,50.32000112815903],[120.63749986555639,50.3200011526184],[120.57499996406239,50.32000112942607],[120.51250001819791,50.32000111685105],[120.4500001359141,50.32000117342488],[120.4500001267008,49.82000214610355]]]}"
00000000000000000203,3760,2,23639.0,16135.5,16135.5,8632.0,32271.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999918198363,49.820002116304885],[121.01249904567413,49.82000215061573],[121.07499893831525,49.820002122065986],[121.13749879648155,49.820002132372615],[121.19999869890763,49.82000215472164],[121.26249853700124,49.82000213166459],[121.32499835761111,49.82000213223018],[121.38749823967505,49.8200021292691],[121.44999815264288,49.82000212838654],[121.44999821330175,50.32000113359162],[121.38749830847033,50.32000116989488],[121.32499841090703,50.32000115977191],[121.26249855037112,50.32000109773105],[121.19999869190487,50.32000117190477],[121.13749874024589,50.32000115234709],[121.07499888243584,50.32000116103168],[121.01249906999031,50.32000112862716],[120.94999911099512,50.32000111505486],[120.94999918198363,49.820002116304885]]]}"
00000000000000000204,3761,61,96133.0,16165.639344262296,10437.0,5190.0,986104.0,"{""type"":""Polygon"",""coordinates"":[[[121.44999815264288,49.82000212838654],[121.51249855112644,49.8200021618202],[121.57499902957088,49.820002174809616],[121.63749947914216,49.82000211002398],[121.69999991710043,49.82000213202124],[121.76250034441114,49.820002150320846],[121.82500073105363,49.82000217053047],[121.88750115649451,49.820002164747756],[121.95000159084849,49.82000213842851],[121.9500016657403,50.320001139376146],[121.88750123252696,50.32000111605462],[121.82500076421546,50.32000111883182],[121.76250028949656,50.32000114232426],[121.69999994799919,50.320001147543145],[121.63749946748622,50.32000113316967],[121.57499906744502,50.320001123461545],[121.51249866604074,50.320001146591444],[121.44999821330175,50.32000113359162],[121.44999815264288,49.82000212838654]]]}"
