GridID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3744,1752892.0,1.07997041E8,7825589.0,8947262.0,6103334.0,1.0353503E7,1.344238E7,1.6203395E7,2.7565787E7,1.5499192E7,2.4948763E7,5.7957517E7,2.6780174E7,5.2554161E7,1.2336373E7,2.0700029E7,4990936.0,6011401.0,8138578.0,4500663.0,3452623.0,6336877.0,6530402.0,2.5700775E7,3366882.0,3682586.0,5127291.0,3733592.0,6881733.0,993086.0,336002.0,119612.0,148874.0,275863.0,1250979.0,423441.0
3745,1213658.0,8.6366241E7,2908642.0,3752387.0,4678794.0,6041111.0,2.1042761E7,3.6972594E7,4.23139E7,4.4369235E7,5.6300939E7,1.9886878E7,2.6340925E7,5.7488505E7,1.2876331E7,6256707.0,3955978.0,3644099.0,4746850.0,1300838.0,1695363.0,2923126.0,1141405.0,8033707.0,1495166.0,1679995.0,2056098.0,3478599.0,526344.0,511615.0,642765.0,685177.0,1.3996523E7,454653.0,890597.0,1782678.0
3746,599724.0,4.4501278E7,1241171.0,2740747.0,1869922.0,3415786.0,1.041044E7,6.0348162E7,4.1579172E7,1.8705908E7,1.6254023E7,1.0357253E7,1.1652328E7,1.8964181E7,3850643.0,8308925.0,6459288.0,1.1756789E7,6925000.0,368845.0,657848.0,1934972.0,1682270.0,701507.0,554707.0,990984.0,2108944.0,1007853.0,510285.0,350175.0,407854.0,964925.0,146145.0,1428519.0,1225045.0,6896206.0
3747,175025.0,2.9293408E7,570278.0,989632.0,1125342.0,1360331.0,4372361.0,1.1066769E7,1.0622995E7,5183719.0,1.4712016E7,1.0841063E7,4802971.0,1.3084715E7,2687565.0,2003729.0,2309728.0,1659840.0,1127651.0,129532.0,102225.0,365563.0,145865.0,307590.0,72916.0,58343.0,277534.0,408908.0,87588.0,43768.0,29165.0,554357.0,43726.0,555165.0,594891.0,3034967.0
3749,174881.0,1.0824488E7,361785.0,478469.0,625949.0,626230.0,6418176.0,3452082.0,8482887.0,2043005.0,4040086.0,9070944.0,2825360.0,1.9828226E7,1121912.0,1166320.0,568449.0,1907971.0,422003.0,189349.0,349349.0,655526.0,334821.0,174551.0,1138135.0,247599.0,378873.0,3330288.0,407778.0,393539.0,1383457.0,1443578.0,43657.0,626444.0,728540.0,1462001.0
3759,582963.0,2.82412473E8,7.7872466E7,8246081.0,6399649.0,5469936.0,5865977.0,5088444.0,7891776.0,5539451.0,3915841.0,3691115.0,4055506.0,2885296.0,2123697.0,6354149.0,1865382.0,2187025.0,2345670.0,4257544.0,1905272.0,2031262.0,2115046.0,2862274.0,1378995.0,1463084.0,1101065.0,449267.0,2.3522719E7,304279.0,275332.0,246062.0,1638774.0,14423.0,448119.0,115820.0
3760,2759390.0,4.16183202E8,9.6144037E7,1.8312222E7,1.7376345E7,2.0554531E7,2.3543159E7,1.9627293E7,2.1638049E7,1.6804309E7,1.7681386E7,2.0758483E7,1.6131262E7,2.0471261E7,1.5760023E7,2.7618476E7,7382053.0,9740759.0,1.1236335E7,1.2398471E7,8931677.0,7981831.0,6279200.0,8409405.0,5588017.0,5339579.0,4356123.0,2132723.0,5.5346369E7,1226850.0,317953.0,57758.0,28901.0,115436.0,361881.0,461775.0
3761,5731101.0,4.4176975E7,1.9403499E8,2.1046E7,1.4673589E7,1.960065E7,2.5060269E7,2.5288468E7,3.3072495E7,3.4106553E7,2.7953197E7,3.8456412E7,3.0588876E7,3.1071308E7,3.2301463E7,4.0871121E7,1.4743722E7,1.4321546E7,1.6771888E7,1.9708186E7,1.2813505E7,1.3146365E7,1.0210861E7,1.2910963E7,8689884.0,1.2409039E7,1.9311309E7,1.7064424E7,1.41969733E8,4401987.0,881773.0,563360.0,305594.0,548431.0,477249.0,3195427.0
3762,1657270.0,2.00819892E8,3.8344148E7,2.2707302E7,1.8736034E7,3.1324762E7,2.0831332E7,2.1668252E7,2.6471686E7,1.9966145E7,2.9464971E7,4.2452077E7,3.7304175E7,3.1368046E7,1.2840282E7,2.7736951E7,6155354.0,9881350.0,1.3067986E7,5959401.0,5132236.0,4331953.0,9111792.0,1.0104402E7,3454697.0,3704000.0,8880586.0,8080916.0,2.6717602E7,740444.0,463849.0,346227.0,144439.0,159103.0,2163801.0,1605697.0
3763,1378829.0,1.7564832E8,2.1760792E7,1.7640682E7,9856256.0,1.4981461E7,1.4240425E7,1.3369233E7,1.03341E7,1.2596505E7,2.2538521E7,4.2939399E7,2.4230229E7,4.3677504E7,1.0026232E7,2.0817347E7,7895216.0,1.8011423E7,6.1692155E7,3204993.0,2671315.0,2875058.0,3682938.0,9689759.0,2846946.0,4627495.0,1.2463654E7,7794031.0,1.2229967E7,491177.0,260325.0,418313.0,230669.0,490399.0,3324861.0,4758647.0
3764,3239708.0,1.18586474E8,8954559.0,1.2471731E7,1.2515189E7,1.6719671E7,1.5996295E7,3.6466678E7,2.8445283E7,3.2467374E7,7.8133682E7,4.3427802E7,3.4512575E7,7.7142256E7,2.5989934E7,3.6767183E7,2.0792081E7,4.9025025E7,3.0770082E7,3023647.0,2518012.0,5600630.0,3373474.0,8212552.0,2837267.0,1564045.0,3281210.0,2679886.0,998164.0,534471.0,591825.0,418641.0,475696.0,1096337.0,636046.0,1850420.0
3765,823633.0,7.7791686E7,3902021.0,4867747.0,4588009.0,8187628.0,9161175.0,1.09229874E8,2.0787849E7,1.275114E7,2.1177388E7,1.970988E7,1.6380874E7,3.5549476E7,1.0975278E7,1.6312971E7,7192973.0,1.234509E7,3428695.0,928771.0,595099.0,2576484.0,1448907.0,1375774.0,2632295.0,2812500.0,3839995.0,1739151.0,551320.0,376805.0,304135.0,666245.0,202388.0,173778.0,347575.0,3687272.0
3766,578081.0,6.1608915E7,1604499.0,2608361.0,2676015.0,3294911.0,1.2296347E7,7.7198323E7,1.1594294E7,9164604.0,2.7941556E7,8518416.0,3732360.0,2678653.0,1491923.0,4268509.0,3236514.0,3768383.0,1316802.0,711367.0,491805.0,6123157.0,318253.0,927131.0,492010.0,216715.0,909145.0,821863.0,563247.0,188279.0,144655.0,347351.0,361299.0,766540.0,466007.0,3356239.0
3767,202455.0,4.5979879E7,1516486.0,1631635.0,1703575.0,2905536.0,9398110.0,4.0805747E7,1.4391246E7,2171002.0,6845074.0,5395205.0,2646503.0,4443425.0,6433982.0,1846320.0,808910.0,1474342.0,895182.0,129831.0,201888.0,981062.0,202092.0,144084.0,476262.0,259165.0,491559.0,158588.0,129614.0,129827.0,86581.0,461316.0,115470.0,907611.0,909060.0,1384256.0
3768,231482.0,5.4070004E7,769082.0,956802.0,1503924.0,2040181.0,1.118647E7,2.1264513E7,3.6584126E7,4327730.0,6272614.0,1.9329074E7,4125708.0,1.5650634E7,3681470.0,4311778.0,1241327.0,2997874.0,823495.0,202534.0,390781.0,3379839.0,332885.0,304052.0,2359475.0,275316.0,1142732.0,3684603.0,173934.0,86862.0,159200.0,346642.0,173439.0,1566178.0,781622.0,1272337.0
3769,318775.0,3.9751461E7,1156564.0,1319518.0,2037336.0,2534385.0,2.5628551E7,6543362.0,9161909.0,2511382.0,4007697.0,1.788879E7,1544305.0,7816786.0,1229292.0,1489343.0,869096.0,2092900.0,2128165.0,795651.0,751552.0,925382.0,1677945.0,1112540.0,2492143.0,1669710.0,2240339.0,2.3919014E7,683438.0,216744.0,448017.0,534556.0,404469.0,547463.0,563008.0,2837182.0
3770,751939.0,4.7747423E7,2486130.0,2535029.0,3073384.0,4385713.0,7.7241956E7,1.698623E7,2.9967767E7,1.1471003E7,5905626.0,2.0342983E7,5078685.0,1.6793983E7,2419598.0,6055701.0,3609010.0,4964289.0,2285949.0,2535037.0,2955616.0,3199849.0,1870390.0,9529048.0,3.4803407E7,1693065.0,3419791.0,2.5693797E7,357831.0,187758.0,1069119.0,638402.0,346796.0,289374.0,144492.0,289344.0
3771,999343.0,1.51148215E8,4763657.0,7643847.0,1.6755612E7,8044583.0,5.1082814E7,1.8855944E7,1.8165742E7,1.005306E7,1.7452243E7,1.7546765E7,1.9766653E7,1.18903181E8,2639281.0,3147585.0,4324144.0,2153204.0,1503219.0,1642959.0,2064012.0,3424986.0,787124.0,2867561.0,2.3431008E7,967193.0,1292419.0,5005292.0,159116.0,86750.0,318466.0,952392.0,187918.0,622031.0,896539.0,866971.0
